name,smiles,atc_class,cyp_substrate,cyp_inhibitor
vancomycin,CC(C)[C@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CO)C(=O)O,glycopeptide antibiotic,,
cyclosporine,CC[C@@H]1NC(=O)[C@H](C)N(C)C(=O)[C@@H](CC(C)C)N(C)C(=O)[C@H](C(C)C)OC(=O)[C@@H]1C,immunosuppressant,CYP3A4,CYP3A4
lithium,[Li+],mood stabilizer,,
haloperidol,O=C(C1CCC(O)(CCF)CC1)CN1CCC(c2ccc(Cl)cc2)=NC1,antipsychotic;butyrophenone,CYP3A4,CYP2D6
risperidone,CN1CCN(CC1)c1cc2c(cc1)N(C(=O)N(C2=O)CCC1CCOC1)c1ccccc1,antipsychotic;atypical,CYP2D6,
morphine,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@@H]3C1,opioid analgesic,CYP2D6,
oxycodone,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)CC[C@@H]3C1,opioid analgesic,CYP3A4,CYP2D6
diazepam,O=C1CN=C(c2ccccc2N1C)c1ccc(Cl)cc1,benzodiazepine,CYP2C19,CYP2C19
zolpidem,Cc1cc2nc(C(C)(C)c3ccccc3)ncc2n1CC(=O)N(C)C,hypnotic;z drug,CYP3A4,
levothyroxine,N[C@@H](Cc1ccc(O)c(I)c1)c1cc(I)c(O)c(I)c1,thyroid hormone,,
calcium carbonate,[Ca+2].[O-]C([O-])=O,calcium supplement;antacid,,
ferrous sulfate,[Fe+2].[O-]S([O-])(=O)=O,iron supplement,,
tetracycline,CC1(O)C(O)=C2C(=O)c3c(O)cccc3C(C)(O)[C@H]2[C@@H](C(=O)O)C1,tetracycline antibiotic,,
colchicine,COc1cc2c(cc1OC)C(=O)CC[C@@H](NC(C)=O)c1c(OC)cccc21,antigout;antimitotic,CYP3A4,
ketoconazole,CC(=O)N1CCN(CC1)c1ccc(OC2CO[C@@](Cn3ccnc3)(c3ccc(Cl)cc3Cl)CO2)cc1,azole antifungal,,CYP3A4
itraconazole,CC(O)C(C)(C)n1ccnc1Cc1ccc(OC2CO[C@](Cn3ccnc3)(c3ccc(Cl)cc3Cl)CO2)cc1,azole antifungal,,CYP3A4
terbinafine,CC(C)(C)C#CC=CC=Cc1ccccc1N(C)C,antifungal;allylamine,,
rifampin,COc1ccc2C(=O)NC(=O)c3c(O)cccc3Oc2c1,antibiotic;antitubercular,CYP3A4,
sotalol,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,beta blocker;class iii antiarrhythmic,,
quinidine,COc1ccc2c(c1)[C@@H]1CCN(C)CC1[C@H](O)C2,class i antiarrhythmic;alkaloid,CYP3A4,CYP2D6
ondansetron,CN1CCN(CC1)C(=O)c1cc2ccc(C)n2n1,antiemetic;5ht3 antagonist,CYP3A4,

